dt|tmp
2022-05-17 10:30:36.294000|6
2022-05-17 13:01:36.495000|4
2022-05-17 13:01:36.495000|3
2022-05-17 13:16:36.954000|2
2022-05-17 13:16:36.954000|3
2022-05-17 13:30:04.710000|1
2022-05-17 13:30:04.710000|2
2022-05-17 13:48:18.426000|3
2022-05-17 13:48:18.426000|1
2022-05-17 13:53:09.339000|1
2022-05-17 13:53:09.339000|3
2022-05-17 14:38:46.355000|0
2022-05-17 14:38:46.355000|1
2022-05-18 18:34:27.468000|17
2022-05-18 18:34:27.468000|13
2022-05-18 18:35:47.983000|22
2022-05-18 18:35:47.983000|16
2022-05-18 18:37:00.769000|3
2022-05-18 18:37:00.769000|3
2022-05-19 11:19:04.535000|28
2022-05-19 11:19:04.535000|7
2022-05-19 15:56:33.506000|18
2022-05-19 15:56:33.506000|21
2022-05-19 15:59:01.506000|23
2022-05-19 15:59:01.506000|25
2022-05-19 16:04:09.857000|26
2022-05-19 16:04:09.857000|28
2022-05-19 16:06:09.722000|8
2022-05-19 16:06:09.722000|95
2022-05-19 16:10:55.692000|4
2022-05-19 16:10:55.692000|3
2022-05-19 16:11:26.708000|9
2022-05-19 16:11:26.708000|8
2022-05-19 16:12:12.018000|4
2022-05-19 16:12:12.018000|7
2022-05-19 16:12:43.340000|8
2022-05-19 16:12:43.340000|12
2022-05-19 16:31:36.412000|6
2022-05-19 16:31:36.412000|3
2022-05-19 16:37:01.285000|2
2022-05-19 16:37:01.285000|2
2022-05-19 16:41:31.346000|5
2022-05-19 16:41:31.346000|137
2022-05-19 18:41:20.812000|8
2022-05-19 18:41:20.812000|8
2022-05-19 19:32:34.449000|11
2022-05-19 19:32:34.449000|8
2022-05-20 10:37:59.919000|35
2022-05-20 10:37:59.919000|56
2022-05-20 10:52:45.283000|3
2022-05-20 10:52:45.283000|4
2022-05-20 10:56:13.931000|12
2022-05-20 10:56:13.931000|8
2022-05-20 11:16:07.470000|2
2022-05-20 11:16:07.470000|3
2022-05-20 11:23:07.007000|3
2022-05-20 11:23:07.007000|2
2022-05-20 12:27:22.119000|4
2022-05-20 12:27:22.119000|4
2022-05-23 15:52:32.127000|4
2022-05-23 15:52:32.127000|7
2022-05-23 17:06:27.111000|66
2022-05-23 17:06:27.111000|64
2022-05-23 17:08:39.574000|60
2022-05-23 17:08:39.574000|66
