titulo,cluster
Homens são presos com mais de 800 pinos de cocaína dentro de carro de aplicativo no ES,146
Homem é preso com quase 100 porções de cocaína,146
Operação de combate ao tráfico de drogas apreende 11 kg de cocaína em Salvador; um homem foi preso,146
Presidente dos Emirados Árabes Unidos morre aos 73 anos,145
Morre o presidente dos Emirados Árabes Unidos,145
Morre presidente dos Emirados Árabes Unidos aos 73 anos,145
"Morre presidente dos Emirados Árabes Unidos, afirma agência estatal",145
Como estatal desbancou Apple do topo das empresas mais valiosas do mundo,144
Como estatal desbancou Apple do topo das empresas mais valiosas do mundo,144
Como estatal desbancou Apple do topo das empresas mais valiosas do mundo,144
Como estatal desbancou Apple do topo das empresas mais valiosas do mundo,144
Como estatal desbancou Apple do topo das empresas mais valiosas do mundo,144
Senado aprova MP que prorroga incentivo fiscal à exportação,143
Câmara aprova MP que prorroga prazos de drawback a exportadoras por mais um ano,143
Câmara aprova MP que prorroga isenção de impostos sobre insumos usados em itens de exportação,143
Senado aprova MP que prorroga corte de imposto sobre itens usados em produtos exportados,143
"Lucro do BNDES sobe 32% e atinge R$ 12,9 bi no 1º trimestre",142
"Lucro do BNDES sobe 32% e atinge R$ 12,9 bi no 1º trimestre",142
"BNDES tem lucro líquido de R$ 12,9 bi no primeiro trimestre de 2022",142
"Lucro do BNDES sobe 32% e atinge R$ 12,9 bi no 1º trimestre",142
"BB tem lucro recorde de R$ 6,6 bilhões no 1º trimestre de 2022",142
Governo e Aneel defendem corte de imposto estadual para reduzir tarifas,141
Governo e Aneel defendem corte de imposto estadual para reduzir tarifas,141
"Em audiência sobre alta na conta de luz, governo e Aneel defendem cortar ICMS para reduzir tarifa",141
Governo e Aneel defendem corte de imposto estadual para reduzir tarifas,141
Anvisa autoriza serviço de bordo e mantém uso de máscaras em voos,140
"Anvisa mantém máscaras obrigatórias em aeronaves, mas libera serviço de bordo",140
"Anvisa mantém uso de máscara em aviões, mas libera serviço de bordo",140
"Anvisa autoriza lanche nos aviões, mas mantém uso de máscaras em voos",140
Ministro de Minas e Energia diz que pedirá estudos sobre privatizar estatal do pré-sal e Petrobras,139
Comissões da Câmara convidam Sachsida a explicar estudos sobre privatização da Petrobras,139
Ministro entrega estudos de privatização da PPSA e da Petrobras,139
Novo ministro de Minas e Energia entrega a Guedes pedido de estudo sobre privatização da Petrobras,139
Ministério da Saúde perpetua uso de vacina da Janssen contra covid-19,138
Ministério da Saúde mantém uso de vacina da Janssen contra covid-19,138
Estados Unidos limitam uso de vacina Janssen por riscos à saúde,138
Ministério da Saúde mantém uso de vacina da Janssen contra covid-19,138
Procurador-geral do Rio pede anulação de denúncia contra Flávio Bolsonaro,137
Caso das 'rachadinhas': Tribunal do RJ arquiva denúncia contra Flávio Bolsonaro,137
TJ-RJ arquiva denúncia contra Flávio Bolsonaro no caso de 'rachadinhas' entre 2002 e 2018,137
"TJ do Rio arquiva denúncia do MP contra Flávio Bolsonaro em caso das ""rachadinhas""",137
Justiça do Rio rejeita denúncia de prática de rachadinha contra Flávio Bolsonaro,137
Por que aborto pode ficar ilegal em boa parte dos EUA,136
Republicanos barram projeto de lei que ampliaria acesso ao aborto nos EUA,136
"EUA podem restringir aborto, na contramão de outros países",136
Oklahoma aprova nova lei para proibir o aborto,136
Casamento gay e outros direitos podem estar em risco se decisão sobre aborto for derrubada nos EUA; entenda,136
"Além de anular direito, projeto de lei nos EUA tenta qualificar aborto como homicídio",136
Governador dos EUA sanciona lei que limita aborto em Oklahoma,136
Trump paga US$ 110 mil por obstruir investigação fiscal em Nova York,135
"Justiça dos EUA suspende ordem de desacato contra Donald Trump, mas ex-presidente precisará pagar US$ 110 mil",135
Trump paga US$ 110 mil por obstruir investigação fiscal em Nova York,135
Justiça dos EUA determina multa de US$ 110 mil a Trump por descumprir intimação,135
Número de mortes por Covid-19 nos Estados Unidos supera 1 milhão,134
"Europa chega à marca de 2 milhões de mortos por Covid-19, diz OMS",134
Europa tem mais de dois milhões de mortos por Covid-19,134
EUA superam marca de um milhão de mortes por Covid-19,134
Espanha pode se tornar primeiro país da Europa a aprovar licença menstrual de 3 dias,133
